031303,편조원단 제조업
032701,의료용 기기 제조업
147401,사업시설 유지·관리 서비스업
032303,시멘트, 석회, 플라스터 및 그 제품 제조업
033302,악기 제조업
032103,의료용품 및 기타 의약 관련제품 제조업
074606,건축자재, 철물 및 난방장치 도매업
031802,기록매체 복제업
064101,건물 건설업
031601,제재 및 목재 가공업
031005,낙농제품 및 식용빙과류 제조업
137201,건축기술, 엔지니어링 및 관련 기술 서비스업
105802,소프트웨어 개발 및 공급업
032602,전자부품 제조업
033109,그외 기타 운송장비 제조업
147603,산업용 기계 및 장비 임대업
095501,일반 및 생활 숙박시설 운영업
074703,가전제품 및 정보통신장비 소매업
074708,기타 상품 전문 소매업
031102,비알코올음료 및 얼음 제조업
033004,자동차 재제조 부품 제조업
105902,오디오물 출판 및 원판 녹음업
106201,컴퓨터 프로그래밍, 시스템 통합 및 관리업
033102,철도장비 제조업
147509,기타 사업지원 서비스업
031602,나무제품 제조업
032501,구조용 금속제품, 탱크 및 증기발생기 제조업
032603,컴퓨터 및 주변장치 제조업
074607,기타 전문 도매업
074701,종합 소매업
043502,연료용 가스 제조 및 배관공급업
032301,유리 및 유리제품 제조업
032605,영상 및 음향기기 제조업
105901,영화, 비디오물, 방송프로그램 제작 및 배급업
033103,항공기,우주선 및 부품 제조업
116601,금융 지원 서비스업
074709,무점포 소매업
032902,특수 목적용 기계 제조업
064201,기반조성 및 시설물 축조관련 전문공사업
137209,기타 과학기술 서비스업
031008,동물용 사료 및 조제식품 제조업
053803,해체, 선별 및 원료 재생업
031309,기타 섬유제품 제조업
031006,곡물가공품, 전분 및 전분제품 제조업
074602,산업용 농·축산물 및 동·식물 도매업
032101,기초 의약물질 및 생물학적 제제 제조업
116401,은행 및 저축기관
053901,환경 정화 및 복원업
074704,섬유, 의복, 신발 및 가죽제품 소매업
033003,자동차 신품 부품 제조업
031502,신발 및 신발 부분품 제조업
031702,골판지, 종이 상자 및 종이용기 제조업
168506,기타 교육기관
032502,무기 및 총포탄 제조업
032003,비료, 농약 및 살균, 살충제 제조업
137106,기타 전문 서비스업
106309,기타 정보 서비스업
074604,생활용품 도매업
032601,반도체 제조업
031001,도축, 육류 가공 및 저장 처리업
031501,가죽, 가방 및 유사제품 제조업
032302,내화, 비내화 요업제품 제조업
084903,도로 화물 운송업
074608,상품 종합 도매업
032309,기타 비금속 광물제품 제조업
074501,자동차 판매업
137103,광고업
032202,플라스틱제품 제조업
137302,전문디자인업
031403,편조의복 제조업
032805,가정용 기기 제조업
116402,신탁업 및 집합투자업
032809,기타 전기장비 제조업
168507,교육지원 서비스업
189102,유원지 및 기타 오락관련 서비스업
031801,인쇄 및 인쇄관련 산업
085101,항공 여객 운송업
074601,상품 중개업
032803,절연선 및 케이블 제조업
033304,인형,장난감 및 오락용품 제조업
043501,전기업
168501,초등 교육기관
010301,어로 어업
032509,기타 금속 가공제품 제조업
137309,그외 기타 전문, 과학 및 기술 서비스업
032403,금속 주조업
199609,그외 기타 개인 서비스업
053802,폐기물 처리업
032001,기초 화학물질 제조업
147502,여행사 및 기타 여행보조 서비스업
105801,서적, 잡지 및 기타 인쇄물 출판업
032901,일반 목적용 기계 제조업
031002,수산물 가공 및 저장 처리업
106301,자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업
084902,육상 여객 운송업
074603,음·식료품 및 담배 도매업
031701,펄프, 종이 및 판지 제조업
010101,작물 재배업
085001,해상 운송업
032402,1차 비철금속 제조업
033201,가구 제조업
032102,의약품 제조업
020501,석탄 광업
033301,귀금속 및 장신용품 제조업
085209,기타 운송관련 서비스업
033303,운동 및 경기용구 제조업
032804,전구 및 조명장치 제조업
031101,알코올음료 제조업
168505,일반 교습 학원
031301,방적 및 가공사 제조업
116409,기타 금융업
032401,1차 철강 제조업
031902,석유 정제품 제조업
106002,텔레비전 방송업
137105,회사 본부 및 경영 컨설팅 서비스업
147503,경비, 경호 및 탐정업
116602,보험 및 연금관련 서비스업
137001,자연과학 및 공학 연구개발업
031304,섬유제품 염색, 정리 및 마무리 가공업
032004,기타 화학제품 제조업
033101,선박 및 보트 건조업
020702,기타 비금속광물 광업
032702,측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외
064204,실내건축 및 건축마무리 공사업
031401,봉제의복 제조업
031201,담배 제조업
147602,개인 및 가정용품 임대업
074605,기계장비 및 관련 물품 도매업
199501,컴퓨터 및 통신장비 수리업
031003,과실, 채소 가공 및 저장 처리업
095601,음식점업
032802,일차전지 및 축전지 제조업
116501,보험업
033001,자동차용 엔진 및 자동차 제조업
032005,화학섬유 제조업
033309,그외 기타 제품 제조업
106102,전기 통신업
032801,전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업
074707,연료 소매업
031007,기타 식품 제조업
116502,재 보험업
126801,부동산 임대 및 공급업
189001,창작 및 예술관련 서비스업
043503,증기, 냉·온수 및 공기조절 공급업
189101,스포츠 서비스업
032201,고무제품 제조업
064203,전기 및 통신 공사업
032604,통신 및 방송 장비 제조업
064102,토목 건설업
032703,사진장비 및 광학기기 제조업
031709,기타 종이 및 판지 제품 제조업
074502,자동차 부품 및 내장품 판매업
064202,건물설비 설치 공사업
147601,운송장비 임대업
032002,합성고무 및 플라스틱 물질 제조업
031302,직물직조 및 직물제품 제조업
